               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.014627,            0.015033,                   0,              0.9999,             0.94366,             0.98213,             0.88867,            0.011475,            0.017707,                   0,             0.00325,             0.00325,             0.07075
                   1,            0.019472,            0.017418,                   0,             0.97203,             0.97887,             0.98477,               0.844,            0.019012,            0.019249,                   0,           0.0065616,           0.0065616,            0.040728
                   2,             0.02745,            0.019861,                   0,             0.97178,             0.97183,             0.98223,             0.68189,            0.027774,            0.023001,                   0,           0.0098512,           0.0098512,            0.010685
                   3,            0.028118,            0.020612,                   0,               0.972,             0.97887,             0.97959,             0.66635,            0.024953,            0.022799,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.024472,            0.018977,                   0,             0.96503,             0.97183,             0.97839,             0.77046,            0.020617,            0.022423,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.024584,            0.020386,                   0,             0.97161,             0.96479,                0.98,             0.76401,            0.024224,            0.023909,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.025764,            0.020381,                   0,             0.97163,             0.96478,             0.97842,             0.71115,             0.02435,            0.023769,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.024649,              0.0201,                   0,             0.99259,             0.94361,             0.97066,             0.74182,            0.022086,            0.022082,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.024331,            0.019284,                   0,             0.97161,             0.96479,             0.97698,             0.74651,            0.022571,            0.023711,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.023365,            0.018125,                   0,             0.97203,             0.97887,             0.97977,             0.71421,            0.024276,            0.022709,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.023612,            0.019237,                   0,             0.97161,             0.96479,             0.98444,             0.78326,            0.020403,            0.021883,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.022733,            0.018944,                   0,              0.9523,             0.98592,             0.98542,             0.79648,            0.019004,            0.021183,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.023422,            0.019501,                   0,              0.9589,             0.98579,             0.98542,             0.75039,            0.022405,            0.021277,                   0,            0.009637,            0.009637,            0.009637
                  13,             0.02332,            0.018366,                   0,              0.9712,              0.9507,             0.98288,             0.76281,             0.02194,            0.021813,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.022951,            0.019388,                   0,             0.99248,             0.93662,             0.98393,             0.74201,            0.020815,            0.021085,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.021871,            0.017259,                   0,              0.9652,             0.97887,             0.98548,             0.77931,            0.018818,             0.02048,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.022321,            0.020168,                   0,              0.9589,             0.98575,             0.98508,             0.78608,            0.017995,             0.02208,                   0,            0.009505,            0.009505,            0.009505
                  17,              0.0212,             0.01935,                   0,             0.96528,             0.97887,             0.98313,             0.78968,            0.017584,            0.021704,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.021718,            0.018533,                   0,             0.97158,             0.96479,             0.97585,             0.79272,            0.016981,            0.021703,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.023674,            0.018446,                   0,             0.97183,             0.97175,             0.98431,             0.79317,            0.016945,            0.020476,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.021914,            0.018629,                   0,              0.9589,             0.98588,             0.98455,             0.80986,            0.017648,            0.020858,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.023377,              0.0187,                   0,             0.96475,             0.96479,             0.98212,             0.80535,            0.018331,            0.021305,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.022943,            0.018664,                   0,              0.9655,             0.98592,             0.98474,             0.75628,            0.020938,            0.021561,                   0,            0.009307,            0.009307,            0.009307
                  23,             0.02336,            0.019101,                   0,             0.97221,             0.98592,               0.986,             0.78764,            0.018865,            0.020795,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.022766,            0.018007,                   0,             0.97898,             0.98592,             0.98734,             0.77708,              0.0202,            0.021351,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.022729,            0.018567,                   0,             0.97221,             0.98592,             0.98493,             0.74541,            0.020348,             0.02269,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.022519,             0.01815,                   0,              0.9717,             0.97183,             0.98667,             0.80619,            0.017706,            0.020779,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.022239,            0.018756,                   0,             0.98566,             0.97183,              0.9852,             0.79437,            0.016392,            0.020111,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.021265,            0.017672,                   0,             0.97163,             0.96471,             0.98423,             0.77164,            0.018276,            0.021133,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.021804,            0.016759,                   0,             0.98561,             0.96467,             0.98155,             0.80139,            0.016957,            0.021341,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.021021,            0.017778,                   0,             0.97808,             0.94366,             0.97477,             0.79752,            0.017768,            0.021426,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.019641,            0.018173,                   0,              0.9589,              0.9859,              0.9848,             0.81105,            0.015509,            0.020125,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.020251,             0.01746,                   0,             0.97885,             0.97887,              0.9828,             0.81755,            0.017144,            0.021167,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.021823,            0.017819,                   0,             0.97143,             0.95766,              0.9753,             0.80937,            0.018114,            0.021925,                   0,            0.008944,            0.008944,            0.008944
                  34,             0.02169,            0.017611,                   0,              0.9854,              0.9507,              0.9749,             0.80748,            0.017623,            0.021537,                   0,            0.008911,            0.008911,            0.008911
