               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.013634,            0.024497,                   0,             0.52343,             0.94364,             0.57089,             0.51234,             0.01041,            0.025977,                   0,             0.00325,             0.00325,             0.07075
                   1,            0.017923,            0.020852,                   0,             0.53591,             0.94331,             0.58691,             0.51414,            0.012621,            0.022963,                   0,           0.0065616,           0.0065616,            0.040728
                   2,            0.022438,            0.019653,                   0,             0.55716,             0.95691,             0.62644,             0.46335,            0.019551,            0.021992,                   0,           0.0098512,           0.0098512,            0.010685
                   3,            0.023298,            0.019743,                   0,             0.58025,             0.91549,             0.61045,             0.46363,             0.01922,            0.022578,                   0,            0.009901,            0.009901,            0.009901
                   4,             0.02101,            0.017887,                   0,             0.55922,             0.92958,             0.61748,             0.43918,            0.020418,            0.023645,                   0,            0.009901,            0.009901,            0.009901
